logo,empresa,ticker,mercado,comision,minimo,horario,fraccion,ticker.yf,Validado,Nombre,Sector
https://logos.xtb.com/smlr_us.svg,Semler Scientific Inc,SMLR.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SMLR,True,"Semler Scientific, Inc.",Healthcare
https://logos.xtb.com/smmt_us.svg,Summit Therapeutics Inc,SMMT.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SMMT,True,Summit Therapeutics Inc.,Healthcare
https://logos.xtb.com/smp_us.svg,Standard Motor Products Inc,SMP.US,NewYork,-,10 USD,-,Sí,SMP,True,"Standard Motor Products, Inc.",Consumer Cyclical
https://logos.xtb.com/smpl_us.svg,Simply Good Foods Co,SMPL.US,NewYork,-,10 USD,-,Sí,SMPL,True,The Simply Good Foods Company,Consumer Defensive
https://logos.xtb.com/smr_us.svg,Nuscale Power Corp - class A,SMR.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SMR,True,NuScale Power Corporation,Industrials
https://logos.xtb.com/smrt_us.svg,SmartRent Inc,SMRT.US,NewYork,-,10 USD,-,No,SMRT,True,"SmartRent, Inc.",Technology
https://logos.xtb.com/smsi_us.svg,Smith Micro Software Inc,SMSI.US,NewYork,-,10 USD,-,No,SMSI,True,"Smith Micro Software, Inc.",Technology
https://logos.xtb.com/smsn_uk.svg,Samsung Electronics Co Ltd - GDR,SMSN.UK,London,0 EUR*,10 USD,09:00 - 17:30,Sí,SMSN.L,True,"Samsung Electronics Co., Ltd.",Technology
https://logos.xtb.com/smt_pl.svg,Simteract SA,SMT.PL,Warszawa,-,10 PLN,-,No,SMT.WA,True,"SMT.WA,0P0001LQZQ,2",No especificado
https://logos.xtb.com/smt_uk.svg,Scottish Mortgage Investment Trust PLC,SMT.UK,London,-,10 GBP,-,No,SMT.L,True,Scottish Mortgage Ord,No especificado
https://logos.xtb.com/smtc_us.svg,Semtech Corp,SMTC.US,NewYork,-,10 USD,-,No,SMTC,True,Semtech Corporation,Technology
https://logos.xtb.com/smti_us.svg,Sanara Medtech Inc,SMTI.US,NewYork,-,10 USD,-,No,SMTI,True,Sanara MedTech Inc.,Healthcare
https://logos.xtb.com/smtk_us.svg,SmartKem Inc,SMTK.US,NewYork,-,10 USD,-,No,SMTK,True,"SmartKem, Inc.",Technology
https://logos.xtb.com/smwb_us.svg,Similarweb Ltd,SMWB.US,NewYork,-,10 USD,-,No,SMWB,True,Similarweb Ltd.,Technology
https://logos.xtb.com/smwh_uk.svg,WH Smith PLC,SMWH.UK,London,0 EUR*,10 GBP,09:00 - 17:30,Sí,SMWH.L,True,WH Smith PLC,Consumer Cyclical
https://logos.xtb.com/smx_us.svg,SMX (Security Matters) PLC,SMX.US,NewYork,-,10 USD,-,No,SMX,True,SMX (Security Matters) Public Limited Company,Industrials
https://logos.xtb.com/smxt_us.svg,SolarMax Technology Inc,SMXT.US,NewYork,-,10 USD,-,No,SMXT,True,"SolarMax Technology, Inc.",Technology
https://logos.xtb.com/sn_uk.svg,Smith & Nephew PLC,SN.UK,London,0 EUR*,10 GBP,09:00 - 17:30,Sí,SN.L,True,Smith & Nephew plc,Healthcare
https://logos.xtb.com/sn_us.svg,Sharkninja Inc,SN.US,NewYork,-,10 USD,-,No,SN,True,"SharkNinja, Inc.",Consumer Cyclical
https://logos.xtb.com/sna_us.svg,Snap-on Inc,SNA.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNA,True,Snap-on Incorporated,Industrials
https://logos.xtb.com/snal_us.svg,Snail Inc,SNAL.US,NewYork,-,10 USD,-,No,SNAL,True,"Snail, Inc.",Communication Services
https://logos.xtb.com/snap_us.svg,Snap Inc. - class A,SNAP.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNAP,True,Snap Inc.,Communication Services
https://logos.xtb.com/snbr_us.svg,Sleep Number Corp,SNBR.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNBR,True,Sleep Number Corporation,Consumer Cyclical
https://logos.xtb.com/sncy_us.svg,Sun Country Airlines Holdings Inc,SNCY.US,NewYork,-,10 USD,-,Sí,SNCY,True,"Sun Country Airlines Holdings, Inc.",Industrials
https://logos.xtb.com/snd_us.svg,Smart Sand Inc,SND.US,NewYork,-,10 USD,-,No,SND,True,"Smart Sand, Inc.",Energy
https://logos.xtb.com/snda_us.svg,Sonida Senior Living Inc,SNDA.US,NewYork,-,10 USD,-,No,SNDA,True,"Sonida Senior Living, Inc.",Healthcare
https://logos.xtb.com/sndk_us.svg,SanDisk Corp,SNDK.US,NewYork,-,10 USD,-,Sí,SNDK,True,Sandisk Corporation,Technology
https://logos.xtb.com/sndl_us.svg,Sundial Growers Inc,SNDL.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNDL,True,SNDL Inc.,Consumer Defensive
https://logos.xtb.com/sndr_us.svg,Schneider National Inc,SNDR.US,NewYork,-,10 USD,-,Sí,SNDR,True,"Schneider National, Inc.",Industrials
https://logos.xtb.com/sndx_us.svg,Syndax Pharmaceuticals Inc,SNDX.US,NewYork,-,10 USD,-,Sí,SNDX,True,"Syndax Pharmaceuticals, Inc.",Healthcare
https://logos.xtb.com/sne_us.svg,Sony Corp - ADR,SNE.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNE,False,False,False
https://logos.xtb.com/snes_us.svg,Senestech Inc,SNES.US,NewYork,-,10 USD,-,No,SNES,True,"SenesTech, Inc.",Basic Materials
https://logos.xtb.com/snex_us.svg,StoneX Group Inc,SNEX.US,NewYork,-,10 USD,-,Sí,SNEX,True,StoneX Group Inc.,Financial Services
https://logos.xtb.com/snfca_us.svg,Security National Financial Corp,SNFCA.US,NewYork,-,10 USD,-,No,SNFCA,True,Security National Financial Corporation,Financial Services
https://logos.xtb.com/sng_de.svg,Singulus Technologies AG,SNG.DE,Frankfurt,-,10 EUR,-,No,SNG.DE,True,Singulus Technologies AG,Industrials
https://logos.xtb.com/sng_pl.svg,Synerga.Fund SA,SNG.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,SNG.WA,True,"SNG.WA,0P0000THM7,18046",No especificado
https://logos.xtb.com/sngx_us.svg,Soligenix Inc,SNGX.US,NewYork,-,10 USD,-,No,SNGX,True,"Soligenix, Inc.",Healthcare
https://logos.xtb.com/snh_us.svg,Senior Housing Properties Trust,SNH.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNH,False,False,False
https://logos.xtb.com/snk_pl.svg,Sanok Rubber Co SA,SNK.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,SNK.WA,True,Sanok Rubber Company Spólka Akcyjna,Consumer Cyclical
https://logos.xtb.com/snn_us.svg,Smith & Nephew PLC - ADR,SNN.US,NewYork,-,10 USD,-,No,SNN,True,Smith & Nephew plc,Healthcare
https://logos.xtb.com/snoa_us.svg,Sonoma Pharmaceuticals Inc,SNOA.US,NewYork,-,10 USD,-,Sí,SNOA,True,"Sonoma Pharmaceuticals, Inc.",Healthcare
https://logos.xtb.com/snow_us.svg,Snowflake Inc - class A,SNOW.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNOW,True,Snowflake Inc.,Technology
https://logos.xtb.com/snps_us.svg,Synopsys Inc,SNPS.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SNPS,True,"Synopsys, Inc.",Technology
https://logos.xtb.com/snr_uk.svg,Senior PLC,SNR.UK,London,0 EUR*,10 GBP,09:00 - 17:30,Sí,SNR.L,True,Senior plc,Industrials
https://logos.xtb.com/snre_us.svg,Sunrise Communications AG,SNRE.US,NewYork,-,10 USD,-,Sí,SNRE,True,Sunrise Communications AG,No especificado
